용어,챗봇
건축허가의제,"건축허가권자로부터 건축허가를 받으면 다른 관계법령 등에 따른 허가를 받지 않고도 그 허가를 받은 것으로 간주해 주는 것을 건축허가 의제라 하며 다음과 같은 행위는 허가를 받은 것으로 본다.공사용 가설건축물의 축조신고, 공작물의 축조신고, 개발행위허가, 시행자의 지정과 실시계획의 인가, 산지전용허가와 산지전용신고(보전산지인 경우 도시지역만 해당), 사도개설허가, 농지전용허가 · 신고 및 협의, 도로의 점용허가, 도로공사시행 허가와 도로의 연결허가, 하천점용 등의 허가, 배수설비의 설치신고, 개인하수처리시설의 설치신고, 수도사업자가 지방자치단체인 경우 그 지방자치단체가 정한 조례에 따른 상수도 공급신청, 자가용전기설비 공사계획의 인가 또는 신고, 수질오염물질 배출시설 설치의 허가나 신고, 대기오염물질 배출시설 설치의 허가나 신고, 소음 · 진동 배출시설 설치의 허가나 신고 등이 있다.근거법은 건축법이다."
대지사용권,"구분 소유권자가 건물의 전용부분을 소유하기 위해 갖고 있는 대지의 권리를 말한다. 구분소유자가 둘 이상의 전유부분을 소유한 때에 대지사용권은 규정된 비율에 따르며 관리 규약으로 달리 정할 수도 있다. 이것은 구분소유자의 전유부분 처분에 따르며, 관리규약으로 정한 경우를 제외하고 전유부분과 분리하여 처분할 수 없다. 근거법은 집합건물의 소유 및 관리에 관한 법률이다."
노상주차장,"도로의 노면 또는 교통광장(교차점광장만 해당)의 일정한 구역에 설치된 주차장으로서 일반의 이용에 제공되는 것을 말한다. 노상주차장은 특별시장 · 광역시장, 시장 · 군수 또는 구청장이 설치 및 관리하는데, 관리의 경우 타인에게 위탁할 수 있으며 이들은 노상주차장에 주차하는 사람으로부터 주차요금을 받을 수 있다. 근거법은 주차장법이다."
뜀뛰기식 개발,"도로를 따라 교외방향으로 도시가 확산되어 개발되는 중간에 상당한 공지를 남기면서 정연한 계획 없이 무분별하게 개발되는 현상을 이르는 말이다. 도시 내부개발이 지가앙등과 공급 토지 부족으로 어려워지자 비교적 택지공급이 용이하고 지가가 저렴한 교외로 확장되면서 나타난 현상이다.이러한 개발은 도시 주변으로 인구를 유입시키고, 그로인한 기반시설의 설치, 통근거리의 증가, 자동차의 과다한 이용으로 공해문제 등으로 많은 사회적비용의 증가를 야기한다. 이를 해결하기 위한 대안은 도시 주변의 그린벨트 규제 강화, 도시 인구 집중의 분산, 고밀도의 재개발, 재건축사업시행 등이 있다."
대한주택보증주식회사,"주택건설사업과 관련된 각종 보증 등을 하여 주택분양계약고객 및 입주자를 보호하고 주택건설사업자의 원활한 사업수행을 지원하여 주택건설을 촉진함으로써 국민의 주거복지 향상과 국민경제의 균형 있는 발전에 기여하고자 주택법에 의거 설립된 회사를 말한다.선분양제도하에서 원래 1993년 4월 주택사업공제조합으로 설립되었으나, 외환위기시 주택건설회사들의 무더기 도산으로 분양받은 소비자가 피해를 보게 되자, 그 소비자를 보호하고 장차 주택을 안정되게 공급하고자 정부가 출연하고 주택건설사업자들이 감자하여 설립한 기구다. 1999년 6월 대한주택보증(주)로 전환한 후 2015.1.6. 주택도시기금법이 제정되어 2015. 7월 주택도시보증공사로 전환하기까지 존속하였다.주요업무는 주택분양보증, 주택사업금융(PF)보증, 임대보증금보증 등 주택관련 보증업무, 기업고객이 부도나 파산했을 경우 기업고객을 대신해 공사를 완료하여 입주 또는 이미 납부한 분양대금 반환의 보증책임 이행, 주 채무자의 채무 불이행시 채권의 회수와 보증거래고객의 재무상태 및 경영능력에 대한 신용도 평가 업무, 부동산정보 및 금융서비스 등이 었으며, 축적된 경험과 전문성을 바탕으로 주택금융관련 업무를 제공하였다."
주택재건축사업,"도로 · 상하수도 · 가스공급시설 · 공원 · 공용주차장 등과 같은 기반시설은 양호하나 지역에 노후 · 불량한 건축물이 밀집하여, 주거환경의 개선이 필요하여 주택을 새로 짓는 사업을 말한다.시장 · 군수는 주택재건축사업의 시행여부를 결정하기 위하여, 현지조사 등을 통하여 해당 건축물의 구조안전성, 건축마감, 설비노후도 및 주거환경 적합성 등을 심사하여 안전진단 실시여부를 결정하며, 안전진단의 실시가 필요하다고 결정한 경우에는 대통령령으로 정하는 안전진단기관에 안전진단을 의뢰한다.안전진단의 결과가 나오면 도시계획 및 지역여건 등을 종합적으로 검토하여 주택재건축사업의 시행여부를 결정한다. 주택재건축사업의 안전진단은 주택단지내의 건축물을 대상으로 하며, 대통령령으로 정하는 주택 단지 내 건축물의 경우에는 안전진단 대상에서 제외할 수 있다. 안전진단은 다음의 어느 하나에 해당하는 경우 실시한다.① 주택재건축사업의 정비예정구역별 정비계획의 수립시기가 도래한 때② 정비계획의 입안을 제안하고자 하는 자가 입안을 제안하기 전에 해당 정비예정구역 안에 소재한 건축물 및 그 부속 토지의 소유자 10분의 1 이상의 동의를 얻어 안전진단 실시를 요청하는 때③ 정비예정구역을 지정하지 아니한 지역에서 주택재건축사업을 하려는 자가 사업예정구역에 있는 건축물 및 그 부속토지의 소유자 10분의 1 이상의 동의를 받아 안전진단을 요청하는 경우④ 건축물의 소유자로서 주택재건축사업을 시행하고자 하는 자가 해당 사업예정구역에 소재한 건축물 및 그 부속토지의 소유자 10분의 1 이상의 동의를 받아 안전진단 실시를 요청하는 때.관련법은 도시 및 주거환경정비법이다."
저당권,"금전을 대부하고 채권자가 갖게 되는 권리를 저당권이라 한다. 은행 등이 융자할 때 만일 채무자의 변제가 지체 될 경우 변제에 충당할 목적으로 미리 보증으로서 채무자로부터 토지, 건물 등 부동산을 담보로 제공받아 두었다가 실제로 변제가 지체될 때, 이것을 경매에 넘겨 채권회수가 가능한 권리이다. 단 부동산등기를 해야 효력이 있다."
가압류,"빚을 갚아야 할 채무자가 가지고 있는 부동산 등 재산을 숨기거나 팔아버릴 염려가 있다고 생각하면 빚을 받을 채권자가 그 부동산이나 값이 나가는 다른 재산을 임시로 압류하는 법원의 처분을 말한다. 가압류를 해 놓으면 장차 강제집행으로 빚을 받을 수 있다.물권 우선의 법칙 때문에 근저당권, 전세권 등 물권은, 다른 채권보다 우선변제를 받을 수 있으므로, 물권 뒤에 가압류 하면 물권보다 후 순위가 되고, 가압류를 한 뒤에 다른 물권이 설정되면 순위는 같아진다. 같은 부동산에 여러 사람이 가압류하면 채권자 평등의 원칙에 따라 모든 가압류 채권자는 변제받는 순위가 같아져서 금액의 비율대로 배당을 받는다."
특별징수의무자,"조세를 징수할 때 납세자에게 직접 납부시키지 않고, 쉽게 징수할 수 있는 자에게 납세자로부터 징수하도록 하는 제도를 특별징수라 하고, 이때 이 납세를 징수할 의무가 있는 자를 특별징수 의무자라 한다. 특별징수는 보통징수 및 신고납세에 상대되는 개념인데, 소득세, 법인세 등을 원천징수하는 자가 바로 특별징수 의무자이다."
도시재생활성화 및 지원에 관한 특별법,"전체 인구의 91퍼센트와 각종 산업기반이 도시에 집중되어 있는 우리나라의 경우 도시의 주거 · 경제 · 사회 · 문화적 환경을 건전하고 지속가능하게 관리하고 재생하는 것이 국가경제 성장과 사회적 통합의 안정된 기반을 구축하는데 필수불가결 한 과제임에도 불구하고 현행 제도로는 도시재생에 필요한 각종 물리적 · 비물리적 사업을 시민의 관심과 의견을 반영하여 체계적 · 효과적으로 추진하기 어려워, 2013. 6. 4. 계획적이고 종합적인 도시재생 추진체제를 구축하고, 물리적 · 비물리적 지원을 통해 민간과 정부의 관련 사업들이 실질적인 도시재생으로 이어지도록 함으로써 궁극적으로 지속적 경제성장 및 사회적 통합을 유도하고 도시문화의 품격을 제고하는 등 국민 삶의 질을 향상시키려고 도시재생 활성화 및 지원에 관한 특별법을 제정하였다.도시재생사업은 이 법에서 정한 사항 외에는 해당 사업의 시행에 관한 사항을 규정하고 있는 관계 법령에 따라 시행한다. 주용내용은 다음과 같다.① 국토교통부장관은 도시재생을 종합적 · 계획적 · 효율적으로 추진하기 위하여 국가도시재생기본방침을 10년마다 수립하고, 필요한 경우 5년마다 그 내용을 재검토하여 정비하도록 한다.② 도시재생에 관한 정책을 종합적이고 효율적으로 추진하기 위하여 국무총리 소속으로 도시재생특별위원회를 두도록 하고, 도시재생전략계획과 도시재생활성화계획의 심의 등을 위해 지방자치단체에 지방도시재생위원회를 두도록 한다.③ 도시재생전략계획 및 도시재생활성화계획의 수립 지원, 도시재생사업시행의 지원, 전문가 육성 · 파견 등을 위해 도시재생지원기구(중앙)와 도시재생지원센터(지방)를 설치하도록 한다.④ 전략계획수립권자는 도시재생전략계획을 10년 단위로 수립하고, 필요한 경우 5년 단위로 정비하도록 한다.⑤ 전략계획수립권자는 도시재생활성화지역에 대해 도시재생활성화계획을 수립할 수 있도록 하고, 구청장 등은 도시재생활성화지역에 대해 근린재생형 활성화계획을 수립할 수 있도록 한다.⑥ 국가 또는 지방자치단체는 도시재생활성화를 위해 도시재생기반시설의 설치 · 정비에 필요한 비용 등에 대하여 그 비용의 전부 또는 일부를 보조하거나 융자할 수 있도록 한다.⑦ 국토교통부장관은 도시재생활성화를 위해 관련 정보 및 통계를 개발 · 검증 · 관리하는 도시재생종합정보체계를 구축하도록 한다.⑧ 도시재생사업의 촉진을 위해 건폐율, 용적률, 주차장 설치기준 및 높이 제한 등의 건축규제에 대한 예외를 규정.⑨ 국토교통부장관은 도시재생이 시급하거나 도시재생사업의 파급효과가 큰 지역을 직접 또는 전략계획수립권자의 요청에 따라 도시재생선도지역으로 지정할 수 있다."
보존등기,"소유권을 보존하기 위해 하는 등기를 말한다. 미등기 부동산을 처음 등기할 때 하는 등기를 말한다. 신축건물의 등기를 하는 예이다.소유권보존등기는 단독신청이 원칙이며 토지 소유권 보존등기는 토지대장등본이나 임야대장등본에 자기 또는 피상속인이 소유자로 등록되어 있는 것을 증명하는 자, 그리고 판결에 의해 자기의 소유권을 증명하는 자, 건물소유권보존등기는 건축물대장등본에 자기 또는 피상속인이 소유자로서 등록되어 있는 것을 증명하는 자, 그리고 판결 또는 그 밖의 시 · 구 · 읍 · 면의 장의 서면에 의해 자기의 소유권을 증명하는 자에 해당하는 사람이 신청할 수 있다.미등기 부동산에 소유권이전계약을 체결한 자는 부동산등기법에 의해 소유권 보존등기를 신청할 수 있음에도 이를 하지 않은 채 계약을 체결한 경우 그 계약을 체결한 날 또는 계약을 체결한 후 부동산등기법에 의해 소유권 보존등기를 신청할 수 있게 된 경우에는 소유권 보존등기를 신청할 수 있게 된 날 중, 정해진 날부터 60일 내에 소유권보존등기를 신청해야 한다. 근거법은 부동산 등기법 및 부동산등기특별조치법이다."
직장주택조합,"같은 직장의 근로자가 주택을 마련하기 위하여 설립한 조합을 말한다.직장주택조합의 설립인가를 받으려는 자는 인가신청서에① 창립총회의 회의록② 조합장선출동의서③ 조합원 전원이 자필로 연명한 조합규약④ 조합원 명부⑤ 사업계획서⑥ 조합원이 될 자가 당해 직징에 근무하는 자 임을 증명할 수 있는 서류⑦ 무주택자 임을 증명하는 서류⑧ 그 밖에 국토교통부령이 정하는 서류와 해당 주택건설대지의 100분의 80 이상의 토지에 대한 토지사용승낙서를 첨부하여 주택조합의 주택건설대지를 관할하는 특별자치시장 · 특별자치도지사 · 시장 · 군수 · 구청장에게 제출하여야 한다.이 경우 토지사용승낙의 비율을 산정할 때 등록사업자의 사용승낙분이 포함되어 있는 경우에는 이를 없는 것으로 본다.직장인주택조합원의 자격은 주택조합 설립인가 신청일부터 해당 조합주택의 입주 가능일까지 주택을 소유하지 않거나 주거전용면적 85제곱미터 이하의 주택 1채를 소유한 세대주인 자이며, 조합설립인가신청일 현재 동일한 특별자치시 · 특별자치도 · 시 또는 군(광역시의 관할구역에 있는 군을 제외한다)특별시 · 광역시 · 특별자치시 · 특별자치도 · 도 · 시 또는 군(광역시의 관할구역에 있는 군을 제외)안에 소재하는 동일한 국가기관 · 지방자치단체 · 법인에 근무하는 자여야 한다.이때 국민주택을 공급받기 위하여 직장주택조합을 설립하려는 자는 관할 시장 · 군수 · 구청장에게 신고하여야 하며, 사업주체는 국민주택을 조합원이 20인 이상인 직장주택 조합에게 국민주택 등의 건설량의 40% 범위 안에서 우선 공급할 수 있다.이때 국민주택 등을 단체 공급받고자 하는 직장주택조합의 조합원은 주택청약종합저축에 가입하여 매월 약정납입일에 월납입금을 6회 이상 납입한 자이어야 하며, 조합원은 주택조합설립신고필증사본, 주택청약종합저축통장사본을 사업주체에게 제출하여야 한다.사업주체는 단체공급 신청자가 많아 경쟁이 있을 때에는① 제1순위 : 당해주택건설지로부터 4킬로미터 이내에 조합원의 직장이 있는 조합② 제2순위 : 당해주택건설지로부터 8킬로미터이내에 조합원의 직장이 있는 조합③ 제3순위 : 당해주택건설지역에 조합원의 직장이 있는 조합의 순으로 공급하고,같은 순위 안에서 경쟁이 있을 때에는 사업주체는 신청조합원의 평균저축총액이 많은 조합에 우선 공급해야 한다."
가격시점,"가격기준일 혹은 가격기준으로 삼는 날짜를 말하며 가격의 기준점이 되는 날짜로 공익사업과 관련된 보상과 감정평가에서 이용하는 용어이다. 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률에서는 가격시점, 감정평가에 관한 규칙에서는 기준시점으로 정의하였다. 부동산가격은 시간과 더불어 항상 변하기 때문에 가격기준일을 정해 두어야 한다.예로 표준지 공시지가의 공시기준일이 매년 1월 1일인데, 이날이 표준지 공시지가의 가격시점일(기준시점) 이다. 평가를 한 일자는 ‘평가시점’이라 한다. 기준시점(가격시점)과 평가시점을 구별해야 하는 이유는 부동산가격이 시간과 더불어 항상 변동하기 때문에 그 가격을 결정한 기준일을 확정해야 하기 때문이다. 그래서 이 가격결정기준일은 대상 부동산을 평가한 감정평가일과 다르다.부동산평가는 특정한 시점의 가격을 확정하는 작업이다. 그래서 평가를 의뢰하여 평가서를 받으면 그 평가서를 이용할 수 있는 날짜는 어느 때부터 어느 때까지로 표기해야 한다. 그래야 혼동이 없다. 그러나 우리나라는 아직 그렇게 하지 않고 있으나, 가격을 분명히 하려면 가격을 이용할 수 있는 기간을 명시해 주어야 한다."
지역개발사업,"지역의 성장 동력을 창출하고 자립적 발전을 도모하기 위하여 국토교통부장관 또는 시 ․ 도지사(지정권자)가 관계 행정기관의 장과 협의한 후 국토정책위원회 또는 지역개발조정위원회의 심의를 거쳐 실시계획을 승인받아 지역개발사업구역에서 시행하는 사업을 말한다.다만, 국가 또는 지방자치단체가 시행자인 경우로서 소관 중앙행정기관의 장 또는 지방자치단체의 장이 직접 실시계획을 작성한 경우에는 관계 행정기관의 장과 협의한 후 지정권자와 협의하여야 하며, 이를 실시계획에 대한 승인으로 본다.지역개발사업을 시행할 사업시행자는 다음의 자 중에서 지정권자가 공모(公募)를 통하여 지정하거나, 지정권자가 해당 특별자치시장 · 시장 · 군수 · 구청장의 의견을 들어서 지정한다.① 국가 또는 지방자치단체② 공공기관③ 지방공사④ 지역개발사업구역 내의 토지소유자(공유수면 관리 및 매립에 관한 법률에 따라 매립면허를 받은 자는 해당 공유수면을 소유한 자로 보고 그 공유수면을 토지로 본다)가 설립한 조합(지역개발사업의 전부를 환지방식으로 시행하는 경우에만 지정가능)⑤ 자본금 등 대통령령으로 정하는 자격 요건을 갖춘 민간투자자⑥ ①~③ 또는 ⑤ 중 둘 이상이 지역개발사업을 시행할 목적으로 출자하여 설립한 법인. 지정권자가 시행자를 지정하는 경우에는 재무 건전성과 자금 조달능력, 유사 개발사업의 시행 경험, 그 밖에 개발사업의 원활한 시행을 위하여 국토교통부장관이 필요하다고 인정하여 고시하는 사항을 고려하여야 한다.근거법은 지역개발 및 지원에 관한 법률이다."
시기부청구권,"계약 할 때 부동산의 권리 청구권 발생 시기를 미리 정해 놓고, 그 시기가 도래하면 청구권이 발생하도록 약정하여 생기는 청구권을 '시기부청구권'이라 한다. 여기서 시기는 도래할 때가 확정되어 있는가 여부에 따라 확정시기와 불확정시기가 있는데, 예를 들어 다가올 7월 7일에 청구하겠다고 하는 것은 그 도래 시기가 확정되어 있으므로 확정시기이며, 비가 오는 날 청구하겠다고 하는 것은 그 도래시기가 언제인지 알 수 없으므로 불확정시기이다.시기가 있는 법률행위는 기한이 도래한 때로부터 그 효력이 생기며 종기(終期)가 있는 법률행위는 기한이 도래한 때로부터 그 효력을 상실한다. 시기부 법률행위는 민법(제154조)에 따라 조건부 권리를 준용한다. 따라서 시기가 도래하기 전에는 일종의 기대권으로 보호되며, 이러한 기대권에 따라 가등기가 가능한 것이다.근거법은 민법 그리고 부동산등기법이다."
가등기의무자,"가등기를 해줘야 하는 매도인을 말한다. 매도인이 이전등기를 하는데 협력하지 않거나, 매매예약으로 아직 소유권을 넘겨주지 않았을 때, 매수인은 가등기를 청구할 수 있는데, 이때 가등기를 해 줘야 하는 매도인이 가등기 의무자이다."
강제경매,"부동산 강제집행 방법의 하나로서, 법원에서 채무자의 부동산을 압류하여 매각한 후 그 대금으로 채권자의 금전채권을 만족시키는데 필요한 절차를 말한다. 채권자가 약속된 날까지 채권을 변제 받지 못하면 법원에 소송을 제기하여 판결을 얻은 후 집행문 부여 등의 절차를 거쳐 법원에 경매신청을 하면, 법원은 채권자의 경매신청에 따라 경매개시결정을 내리고 동시에 부동산을 압류한 다음에 경매절차에 따라 부동산을 강제 매각하는 것을 말한다.예컨대, 채권자가 채무자를 상대로 승소판결을 받았는데에도 채무자가 빚을 갚지 않을 때 채권자가 채무자의 부동산을 압류하고 매각하여 그 매각대금으로 빚을 받아내는 절차가 강제경매이다.부동산 강제경매는 ① 강제경매의 신청,② 강제경매개시의 결정,③ 배당요구의 종기 결정 및 공고,④ 매각의 준비,⑤ 매각의 실시,⑥ 매각결정 절차,⑦ 매각대금의 납부,⑧ 배당절차,⑨ 소유권이전등기와 인도의 순서로 진행한다. 강제경매로 취득한 부동산소유권 취득은 등기하지 않아도 효력이 발생한다. 근거법은 민사집행법이다."
부동산가격형성요인,"부동산의 가격은 유용성, 상대적 희소성, 유효구매력 등 가격발생요인의 상호작용에 의하여 형성 또는 파괴되는데, 이러한 가격발생요인에 영향을 주는 요인을 말한다. 부동산의 가격형성요인은 일반요인 · 지역요인 · 개별요인으로 나눈다.일반요인은 다시 자연요인 · 사회요인 · 경제요인 · 행정요인으로 구분하고, 지역요인은 택지지역 · 농지지역 · 임지지역으로 나누고 택지는 다시 주거 · 상업 · 공업지역 요인으로 구분하며, 개별요인은 토지의 개별요인 · 건물의 개별요인 등으로 구분하며, 토지는 다시 택지, 농지, 임지, 후보지 및 이행지로 나눈다.이러한 가격형성요인은 각각 독립하여 작용하는게 아니며, 모든 요인이 유기적으로 관련을 맺고 결합하여 부동산가격을 형성시킨다. 때문에 이러한 요인을 분석할 때는 각각 요인간의 상호관계를 충분히 고려해야 한다."
가치와 가격,"장래에 기대하는 편익의 값을 현재의 값으로 계산한 것을 가치라 한다. 시장성보다도 사람이 느끼는 주관에 중점을 둔 것이다. 이와 유사한 말로 가격이 있으며, 가격은 시장성에 따라 인정되는 객관적인 것으로 화폐로 표시된 단위를 말한다. 부동산평가에서는 이론적으로 양자를 다르게 논하는 학자도 있으나, 실무계에서는 구별 없이 혼용하는 수가 많다."
장기공공임대주택입주자,"장기공공임대주택에 거주하는 자를 말한다. 국토교통부장관은 입주자 삶의 질 향상을 위하여 관계 중앙행정기관의 장과 협의하여 5년마다 입주자 삶의 질 향상 기본계획을 수립 · 시행하여야 한다.기본계획에는 다음 사항이 포함되어야 한다.① 입주자 삶의 질 향상의 기본방향 및 목표② 입주자 공동체 활성화를 위한 프로그램 개발 및 재정 지원에 관한 사항③ 노약자 · 장애인을 위한 승강기 등 편의시설 설치 및 보수비용 지원에 관한 사항④ 시설물 노후화 등으로 인한 유지보수 및 기능 향상에 필요한 비용 지원에 관한 사항⑤ 복지서비스시설 내 장비 설치 및 시설 운영에 필요한 비용 지원에 관한 사항⑥ 입주자의 관리비 절감을 위한 사업⑦ 쾌적한 단지환경조성을 위한 사업⑧ 안전사고 예방 및 위생환경 개선을 위한 사업⑨ 입주자를 위한 일자리를 창출할 수 있는 사회적 일자리 개발 사업⑩ 입주자의 고용촉진을 위한 정보의 제공, 직업상담, 직업교육훈련 프로그램 개발 사업⑪ 정신장애인, 알코올중독자 등을 위한 상담 및 교육, 지원 프로그램 개발 사업⑫ 독거노인, 장애인, 아동 등 보호가 필요한 입주민을 위한 돌봄서비스 사업⑬ 그 밖에 국토교통부장관이 입주자의 주거복지증진을 위하여 필요하다고 인정하는 사업.국가는 사업주체가 공공주택특별법 특별법에 따라 소득수준별로 임대료를 차등 부과할 경우 예산의 범위에서 표준 임대조건을 적용하여 산출한 임대료 총액과 입주자에게 차등 부과한 임대료 총액의 차액을 사업주체의 재정력 등을 고려하여 예산의 범위에서 다음 순위에 따라 지원할 수 있다.① 생계급여 및 의료급여 수급권자에 대한 임대료 총액의 차액② 국민기초생활 보장법에 따른 주거급여 및 교육급여만을 받을 수 있는 수급권자 또는 차상위계층에 대한 임대료 총액의 차액③ 장애인, 북한이탈주민, 소년소녀가 가장인 가정, 한부모가족, 국가유공자, 만 65세 이상인 자 및 그 밖의 사회취약계층에 대한 임대료 총액의 차액④ 소득이 국민임대주택 입주자격 기준소득 이하인 자에 대한 임대료 총액의 차액.근거법은 장기공공임대주택 입주자 삶의 질 향상 지원법이다."
건강친화형주택,오염물질이 적게 방출되는 건축자재를 사용하고 환기 등을 실시하여 새집증후군 문제를 개선하여 거주자에게 건강하고 쾌적한 실내환경을 제공할 수 있도록 일정한 수준 이상의 실내 공기질과 환기성능을 확보한 주택으로서 의무기준을 모두 충족하고 권장기준 중 2개 이상의 항목에 적합한 주택을 말한다.500세대 이상의 주택건설사업을 시행하거나 500세대 이상의 리모델링을 하는 주택에 대하여 적용한다. 주택건설사업자가 주택법에 따라 짓는 주택으로 500세대 이상을 신축 및 리모델링하는 주택은 건강친화형주택으로 건설해야 한다. 근거법규는 건강친화형 주택 건설기준이다.
도로,"일반적으로 두 지점 간에 사람과 물자를 경제적으로 이동시키기 위하여 합리적으로 설치한 지상의 시설을 말한다. 도로는 일반인의 교통을 위하여 제공하는 시설로 건축법, 국토의 계획 및 이용에 관한 법률, 도로법, 사도법 등의 여러 법률에서 각각 제정 취지에 맞게 차이를 두고 규정하여 운용하고 있다. 건축법에 정해 놓은 도로는 보행과 자동차 통행이 가능한 너비 4미터 이상인 길을 도로라 한다.원칙적으로 건축물 대지는 2미터 이상의 도로에 접해야 하며, 연면적 합계가 2천제곱미터(공장은 3천제곱미터) 이상인 건축물의 대지는 너비 6미터 이상의 도로에 4미터 이상 접해야 한다. 국토의 계획 및 이용에 관한 법률에 정해 놓은 도로는 사용 및 형태, 규모 및 기능별로 구분해 놓았는데, 도로는 기반시설 중 하나이며 반드시 도시 · 군관리계획으로 결정하여 설치하도록 하였다.이 법의 사용형태상 일반도로는 폭 4미터, 보행자전용도로는 폭 1.5미터 이상이다. 규모별로 광로(70~40미터 미만), 대로(40~25미터 미만), 중로(25~12미터 미만), 소로(12~8미터 미만)로 구분하였고, 기능별로는 주 간선도로, 보조 간선도로, 집산도로, 국지도로 및 특수도로로 구분하였다.도로법에서 규정하는 도로는 일반인의 교통을 위해 제공되는 도로로서 그 종류에는 고속국도, 일반국도, 특별시도(特別市道) · 광역시도(廣域市道), 지방도, 시도(市道), 군도(郡道), 구도(區道)가 있다. 또한 터널 · 교량 · 도선장 · 도로용 엘리베이터 및 도로와 일체가 되어 그 효용을 다하게 하는 시설 또는 공작물로서 도로법 시행령이 정하는 것과 도로부속물이 포함된다.사도법의 사도는 도로법의 도로, 도로법의 준용을 받는 도로, 농어촌도로가 아닌 것으로 그 도로에 연결되는 길로 정의해 놓았다. 사도는 특별자치시장, 특별자치도지사 또는 시장, 군수 구청장의 허가를 받아 개설하고 사도를 설치한 자가 관리해야 한다. 국토의 계획 및 이용에 관한 법률에 따른 도로는 도시 · 군계획시설의 결정 · 구조 및 설치기준에 관한 규칙을 참고한다."
모텔,영어의 motor와 hotel을 합성한 단어로 뜻은 자동차와 함께 들어가서 잠을 자고 갈 수 있는 호텔을 말한다. 1990년대에 준농림지역에 많이 설치되어 난개발의 원인중 하나라 하여 사회문제화 된 적이 있다.
공동저당권설정등기,"여러 개의 부동산권리를 목적으로 하는 저당권 설정등기를 말한다. 이 등기를 하려면 신청서에 각 부동산의 권리를 표시하여야 하며, 그것이 5개 이상이면 신청서에 공동담보 목록을 첨부해야 한다. 공동담보목록에는 각 부동산에 관한 권리의 표시를 하고 신청인이 기명날인해야 한다. 공동저당권 설정등기를 할 때는 그 부동산의 등기용지 중 해당 구 사항 란에 다른 부동산의 권리의 표시를 하고, 그 권리가 함께 담보의 목적이라는 뜻을 적어야 한다.그리고 신청서에 공동담보목록을 첨부하여, 각 부동산의 권리를 등기할 때는 그 부동산의 등기용지 중 해당 구 사항 란에 공동담보목록에 적힌 다른 부동산의 권리도 함께 담보의 목적이라는 뜻을 적어야 한다. 공동담보목록은 등기부의 일부로 보고, 그 기재는 등기로 본다.여러 개의 부동산 중에서 1개의 부동산 권리를 목적으로 한 저당권의 등기를 말소할 때는 다른 부동산의 권리에 공동담보등기의 그 사실을 부기하고 소멸된 사항을 말소하는 표시를 한다. 변경등기를 한 경우도 동일하다. 근거법은 부동산등기법이다."
권리변경,"권리변동 중 하나로, 권리의 동일성을 유지하면서 권리의 주체, 내용 또는 권리의 작용이 변하는 것을 말한다.① 주체의 변경은 권리자가 바뀌는 것으로 이전승계와 같다.② 내용의 변경은 수량 혹은 성질이 바뀌는 것으로, 내용의 변경은 물건의 부합이나 일부 멸실에 따른 소유권의 증감, 소유권 객체의 제한물권의 설정 내지 소멸로 인한 내용의 증감 그리고 제한물권의 소멸로 소유권이 본래 상태로 회복되는 것이나 권리의 객체가 첨부로 증가하는 경우를 말한다. 성질의 변경은 물건의 인도를 목적으로 하는 채권이 채무자의 귀책사유로 채무불이행을 이유로 손해배상채권으로 변하는 것처럼 권리행사의 주체와 상대방은 동일한데 권리의 내용이 변경되는 것을 말한다. 선택채권의 선택, 물상대위성 등이 성질변경에 해당 된다.③ 작용의 변경은 예를 들어 선순위 1번 저당권이 변제 등으로 소멸하여 후순위 2번 저당권의 순위가 승진하는 것이나, 부동산 임차권을 등기하여 제3자에게 대항할 수 있는 경우 등을 말한다. 부동산을 놓고 하는 법률행위는 등기해야 비로소 물권의 득실이 변경되고 그 효력이 생긴다."
토지의 이동,"공간정보의 구축 및 관리 등에 관한 법률상의 용어로 토지의 표시를 새로 정하거나 변경 또는 말소하는 것을 말한다.'도시개발법'에 따른 도시개발사업, '농어촌정비법'에 따른 농어촌정비사업, '주택법'의 주택건설사업, '택지개발촉진법'의 택지개발사업, '산업입지 및 개발에 관한 법률'상의 산업단지개발사업, '도시 및 주거환경정비법'의 정비사업, '지역 개발 및 지원에 관한 법률'의 지역개발사업, '체육시설의 설치 · 이용에 관한 법률상' 체육시설 설치를 위한 토지개발사업, '관광진흥법'상 관광단지 개발사업, '공유수면 관리 및 매립에 관한 법률'상 매립사업, '항만법' 및 '신항만건설촉진법'상 항만개발사업, '공공주택특별법특별법'상 공공주택지구 조성사업, '물류시설의 개발 및 운영에 관한 법률' 및 '경제자유구역의 지정 및 운영에 관한 특별법'에 정한 개발사업, '철도건설법'에 따른 고속철도, 일반철도 및 광역철도 건설사업, '도로법'에 따른 고속국도 및 일반국도 건설사업, 그 밖에 이와 유사한 경우로서 국토교통부장관이 인정하는 토지개발사업을 시행하는 지역에서 토지의 이동이 있는 경우나 '지적재조사에 관한 특별법'에 따른 지적재조사사업에 따라 토지의 이동이 있는 경우에는 지적측량을 해야 한다.관련법은 공간정보의 구축 및 관리 등에 관한 법률이다."
